http://dig.isi.edu/gazetteer/data/geonames/place/3436169	Balneario Mar Azul	Buenos Aires	Argentina
http://dig.isi.edu/gazetteer/data/geonames/place/3634571	Los Angeles	Guárico	Venezuela
http://dig.isi.edu/gazetteer/data/geonames/place/4046384	Los Angeles	Texas	United States
http://dig.isi.edu/gazetteer/data/geonames/place/5344994	East Los Angeles	California	United States
http://dig.isi.edu/gazetteer/data/geonames/place/5368361	Los Angeles	California	United States
